"Curtains (Pack Of 2)(Floral, Brown)","https://www.flipkart.com/panipat-textile-hub-213-cm-7-ft-polyester-door-curtain-pack-2/p/itmeua8zuy2yvwrr?pid=CRNEUA8ZBMHFZWJF&lid=LSTCRNEUA8ZBMHFZWJFU9X5O3&marketplace=FLIPKART&store=jra%2Fsl5%2F2va&srno=b_1_1&otracker=hp_omu_Home%2B%2526%2BKitchen%2BEssentials_4_18.dealCard.OMU_OX9EDAIE2ZOB_10&otracker1=hp_omu_PINNED_neo%2Fmerchandising_Home%2B%2526%2BKitchen%2BEssentials_NA_dealCard_cc_4_NA_view-all_10&fm=neo%2Fmerchandising&iid=en_exQvjSvnqDudiTOMraKYmq%2FfWAUaDmjVFCYBG8%2FZCKnPXoovixTzvHNRlmjCehaoBxti%2Bt4jgJ7OYKhfCkIBaA%3D%3D&ppt=browse&ppn=browse&ssid=roadpf3klc0000001667739032773",400
"Acer 6k monitor","https://www.flipkart.com/acer-21-5-inch-full-hd-led-backlit-va-panel-monitor-ek220q/p/itm53fe18f0d4eaa?pid=MONG4GBU5GN9RNNK&lid=LSTMONG4GBU5GN9RNNKLE1QRF&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_3&otracker=hp_omu_Best%2Bof%2BElectronics_4_3.dealCard.OMU_TXZMLQJZFW8U_3&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all%2Chp_omu_PINNED_neo%2Fmerchandising_Best%2Bof%2BElectronics_NA_dealCard_cc_4_NA_view-all_3&fm=neo%2Fmerchandising&iid=64b8a829-3123-452d-8506-69dc5ed86e11.MONG4GBU5GN9RNNK.SEARCH&ppt=hp&ppn=homepage&ssid=3jtqsm4qq80000001667831924831",5700
"Motorola G62 5G","https://www.flipkart.com/motorola-g62-5g-midnight-gray-128-gb/p/itm37da299ffb2d0?pid=MOBGEDT5ZZMZQZSJ&lid=LSTMOBGEDT5ZZMZQZSJL5Z9RH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=hp_reco_Top%2BSelection_4_7.dealCard.OMU_cid%3AS_F_N_tyy_4io__b___NONE_ALL%3Bnid%3Atyy_4io_%3Bet%3AS%3Beid%3Atyy_4io_%3Bmp%3AF%3Bct%3Ab%3B_6&otracker1=hp_reco_WHITELISTED_personalisedRecommendation%2FC6_Top%2BSelection_DESKTOP_HORIZONTAL_dealCard_cc_4_NA_view-all_6&fm=personalisedRecommendation%2FC6&iid=7b4ef7a9-bcb1-4970-b233-f42ca9c06427.MOBGEDT5ZZMZQZSJ.SEARCH&ppt=hp&ppn=homepage&ssid=0akab8qejk0000001667832248992",20000
"Syska 1000W iron","https://www.flipkart.com/syska-sdi-07-1000-w-dry-iron/p/itmd56738af25f3f?pid=IRNFEEA3MKYMWZVH&lid=LSTIRNFEEA3MKYMWZVHDTEAOD&marketplace=FLIPKART&q=iron&store=j9e%2Fabm%2Fa0u&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=7bb800f7-10b1-4acf-bf04-dcb92e1ef9a3.IRNFEEA3MKYMWZVH.SEARCH&ppt=sp&ppn=sp&ssid=55q22ilsxs0000001667832885126&qH=bcd31c714bca2c41",500
